year,country,impact
1983,SGP,0.01916563464394688
1983,SWE,0.017701845501564072
1983,ESP,0.013177410899795197
1983,HKG,0.02223468509073208
1983,KOR,0.02716282491080446
1983,AUS,0.021312558624712152
1983,CHN,0.021155408839998197
1983,BRA,0.01855913917789772
1983,IRN,0.01627332798885941
1983,MEX,0.03372052619510431
1983,IDN,0.024974231452484397
1983,AUT,0.024564634852390375
1983,NOR,0.016335791667167133
1983,DNK,0.01466648475478651
1983,MYS,0.01441918556535692
1983,DZA,0.013522251532437796
1983,IND,0.007534026460724682
1983,ARE,0.015692627250017865
1983,VEN,0.018020945135595674
1983,KWT,0.009593881169232486
1984,USA,0.07045046906508537
1984,JPN,0.05775861067560446
1984,DEU,0.05038808553441125
1984,GBR,0.04182157912407131
1984,FRA,0.03847059665992681
1984,CAN,0.06067170907679525
1984,ITA,0.03330241558446053
1984,NLD,0.03632441030961418
1984,SAU,0.028415903120353903
1984,HKG,0.025376561031509468
1984,CHE,0.02462622608270548
1984,SGP,0.019581494346352795
1984,KOR,0.02875502567624311
1984,SWE,0.017625206367761836
1984,CHN,0.024320430531202267
1984,ESP,0.013689394300523416
1984,AUS,0.022374675486960652
1984,MEX,0.035884412513062555
1984,BRA,0.02195082764794236
1984,NOR,0.016654122062568444
1984,IDN,0.02461143145201571
1984,AUT,0.023732911431396757
1984,MYS,0.01580095184485289
1984,DNK,0.013859614936728212
1984,IRN,0.010227155162293635
1984,DZA,0.012862741393056595
1984,IND,0.006463745077941252
1984,VEN,0.021564201488354626
1984,TWN,0.013979234015276936
1984,FIN,0.006104453555697305
1985,USA,0.07265111201601357
1985,DEU,0.053115384588084395
1985,JPN,0.059534448750303975
1985,GBR,0.043190370409275126
1985,FRA,0.03995462161928746
1985,CAN,0.06220035992093776
1985,ITA,0.03551764130005103
1985,NLD,0.0380603616370301
1985,CHN,0.030479199251304368
1985,HKG,0.02528200742333971
1985,CHE,0.026046551739520245
1985,SWE,0.018543267671217653
1985,KOR,0.029089390442134235
1985,ESP,0.01422538936987715
1985,SAU,0.023313016875767673
1985,SGP,0.019160684404347254
1985,AUS,0.022825497491214812
1985,MEX,0.036686051951731476
1985,BRA,0.021598423743810755
1985,NOR,0.017273594912653446
1985,AUT,0.025380588903333355
1985,DNK,0.01520087107104373
1985,MYS,0.01433714903101339
1985,IDN,0.02162495723136066
1985,IRN,0.008343837420883507
1985,IND,0.007009986929102494
1985,VEN,0.02124327300582627
1985,FIN,0.006729591193715736
1985,DZA,0.01281384779538665
1985,NGA,0.006609471653537274
1986,USA,0.07493908630263933
1986,DEU,0.06109776411535079
1986,JPN,0.06260201908506001
1986,FRA,0.04577484016153989
1986,GBR,0.04412352780002875
1986,ITA,0.04159144327581115
1986,CAN,0.0619250784599423
1986,NLD,0.04281874318717387
1986,CHE,0.03213239027260357
1986,HKG,0.027096939511474436
1986,CHN,0.026899472729686985
1986,SWE,0.022067213664141164
1986,KOR,0.0313865215979475
1986,ESP,0.01896097662948108
1986,SGP,0.018772437209608552
1986,AUT,0.03076366788513764
1986,AUS,0.021564432564772782
1986,SAU,0.015436769650207093
1986,DNK,0.018954962090664225
1986,NOR,0.015452886738713449
1986,BRA,0.020799644017355193
1986,MEX,0.033316896455171385
1986,MYS,0.011325054975758257
1986,FIN,0.009129068712590166
1986,IRL,0.017578586004623913
1986,TWN,0.016666876754780444
1986,IDN,0.01885652661369635
1986,IND,0.006706147575946245
1986,ARE,0.014281022095038174
1986,TUR,0.0064966951698994906
1987,USA,0.07423464680288949
1987,DEU,0.06247840963529378
1987,JPN,0.06072912253940382
1987,FRA,0.047635147875214855
1987,GBR,0.04635466868988206
1987,ITA,0.0434275468777354
1987,CAN,0.06219876856490376
1987,NLD,0.04340723234373557
1987,CHE,0.03344182292444844
1987,HKG,0.028857418880099885
1987,KOR,0.03356527992239199
1987,ESP,0.021766763023957546
1987,CHN,0.02513560692197263
1987,SWE,0.02354154282564939
1987,SGP,0.02030131182793786
1987,AUT,0.03209425709095386
1987,AUS,0.02030366851648443
1987,SAU,0.015584291387735164
1987,DNK,0.018845327663180332
1987,NOR,0.01403939461413399
1987,BRA,0.02033253873573358
1987,MEX,0.03433942116432783
1987,TWN,0.019591074362168205
1987,FIN,0.010571561461754572
1987,MYS,0.011207313696840727
